geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
146617,zh-Hans,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,法马古斯塔,,Asia/Famagusta,1
146619,zh-Hans,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146638,zh-Hans,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,,,Asia/Famagusta,1
146661,zh-Hans,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,,,Asia/Famagusta,1
146669,zh-Hans,EU,欧洲,CY,塞浦路斯,,,,,,,Asia/Nicosia,1
146692,zh-Hans,EU,欧洲,CY,塞浦路斯,03,拉纳卡区,,,,,Asia/Nicosia,1
146748,zh-Hans,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,,,Asia/Famagusta,1
146796,zh-Hans,EU,欧洲,CY,塞浦路斯,03,拉纳卡区,,,,,Asia/Nicosia,1
146879,zh-Hans,AS,亚洲,AZ,阿塞拜疆,BEY,,,,,,Asia/Baku,0
146970,zh-Hans,AS,亚洲,AZ,阿塞拜疆,XA,,,,,,Asia/Baku,0
147269,zh-Hans,AS,亚洲,AZ,阿塞拜疆,SAL,,,,,,Asia/Baku,0
147288,zh-Hans,AS,亚洲,AZ,阿塞拜疆,SAT,,,,,,Asia/Baku,0
147310,zh-Hans,AS,亚洲,AZ,阿塞拜疆,BIL,,,,,,Asia/Baku,0
147425,zh-Hans,AS,亚洲,AZ,阿塞拜疆,NEF,,,,,,Asia/Baku,0
147429,zh-Hans,AS,亚洲,AZ,阿塞拜疆,NX,纳希切万自治共和国,BAB,,,,Asia/Baku,0
147551,zh-Hans,AS,亚洲,AZ,阿塞拜疆,MAS,,,,,,Asia/Baku,0
147611,zh-Hans,AS,亚洲,AZ,阿塞拜疆,LER,列里克區,,,,,Asia/Baku,0
147622,zh-Hans,AS,亚洲,AZ,阿塞拜疆,LAN,,,,,,Asia/Baku,0
148140,zh-Hans,AS,亚洲,AZ,阿塞拜疆,CAB,,,,,,Asia/Baku,0
148155,zh-Hans,AS,亚洲,AZ,阿塞拜疆,CAL,,,,,,Asia/Baku,0
148442,zh-Hans,AS,亚洲,AZ,阿塞拜疆,AST,,,,,,Asia/Baku,0
